id,bron,doel,eigenaar,kijkrichting,camera_type,geom
123,gemeente_utrecht,Bescherming eigendommen/personen,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000E08101840F551440897B2C7DE8084A40
124,gemeente_utrecht,Bescherming eigendommen/personen,Gemeente Utrecht,onbekend,onbekend,0101000020E61000005393E00D69641440278925E5EE0B4A40
125,gemeente_utrecht,Bescherming eigendommen/personen,Gemeente Utrecht,onbekend,onbekend,0101000020E610000087889B53C9701440B1355B79C90B4A40
126,gemeente_utrecht,Veilig gebruik brug,Gemeente Utrecht,onbekend,onbekend,0101000020E61000009DB98784EF6D14405B971AA19F0D4A40
127,gemeente_utrecht,Veilig gebruik brug,Gemeente Utrecht,onbekend,onbekend,0101000020E61000004626E0D7487214402AA73D25E70C4A40
128,gemeente_utrecht,Veilig gebruik brug,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000F296AB1F9B74144062D68BA19C0C4A40
129,gemeente_utrecht,Veilig gebruik brug,Gemeente Utrecht,onbekend,onbekend,0101000020E610000028BA2EFCE07C14404F05DCF3FC094A40
130,gemeente_utrecht,Veilig gebruik brug,Gemeente Utrecht,onbekend,onbekend,0101000020E610000065506D70227A14408FC2F5285C094A40
131,gemeente_utrecht,Veilig gebruik brug,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000BC3FDEAB56761440D4601A868F084A40
132,gemeente_utrecht,Veilig gebruik brug,Gemeente Utrecht,onbekend,onbekend,0101000020E61000009B1F7F69516F14408A0629780A074A40
133,gemeente_utrecht,Veilig gebruik brug,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000938D075BEC46144032005471E30C4A40
134,gemeente_utrecht,Milieuzone,Gemeente Utrecht,onbekend,onbekend,0101000020E61000008CDB68006F8114401F69705B5B0A4A40
135,gemeente_utrecht,Milieuzone,Gemeente Utrecht,onbekend,onbekend,0101000020E610000029266F80996F1440CFA44DD53D0C4A40
136,gemeente_utrecht,Milieuzone,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000F817416326711440A5F9635A9B0A4A40
137,gemeente_utrecht,Milieuzone,Gemeente Utrecht,onbekend,onbekend,0101000020E61000001A4D2EC6C06A144087FA5DD89A0B4A40
138,gemeente_utrecht,Milieuzone,Gemeente Utrecht,onbekend,onbekend,0101000020E61000009CC420B0727814406A6AD95A5F0C4A40
139,gemeente_utrecht,Milieuzone,Gemeente Utrecht,onbekend,onbekend,0101000020E610000069E21DE0497B1440CDB1BCAB1E0A4A40
140,gemeente_utrecht,Milieuzone,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000D5B0DF13EB8414403315E291780B4A40
141,gemeente_utrecht,Milieuzone,Gemeente Utrecht,onbekend,onbekend,0101000020E610000064CF9ECBD4841440CD5CE0F2580B4A40
142,gemeente_utrecht,Milieuzone,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000A2EE0390DA6414405B7C0A80F10A4A40
143,gemeente_utrecht,Milieuzone,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000FE99417C6087144099D36531B10B4A40
144,gemeente_utrecht,Milieuzone,Gemeente Utrecht,onbekend,onbekend,0101000020E610000019575C1C956B144098C0ADBB790A4A40
145,gemeente_utrecht,Milieuzone,Gemeente Utrecht,onbekend,onbekend,0101000020E61000000D349F73B77B144071C971A7740C4A40
146,gemeente_utrecht,Milieuzone,Gemeente Utrecht,onbekend,onbekend,0101000020E610000015527E52ED73144016F9F5436C0C4A40
147,gemeente_utrecht,Milieuzone,Gemeente Utrecht,onbekend,onbekend,0101000020E61000004DA1F31ABB641440DFC2BAF1EE0A4A40
148,gemeente_utrecht,Milieuzone,Gemeente Utrecht,onbekend,onbekend,0101000020E610000085B1852007651440293FA9F6E90A4A40
149,gemeente_utrecht,Milieuzone,Gemeente Utrecht,onbekend,onbekend,0101000020E61000001C7920B248831440A3E8818FC10A4A40
150,gemeente_utrecht,Milieuzone,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000ED647094BC6A1440F3C64961DE0B4A40
151,gemeente_utrecht,Milieuzone,Gemeente Utrecht,onbekend,onbekend,0101000020E61000006FD40AD3F76A1440588CBAD6DE0B4A40
152,gemeente_utrecht,Milieuzone,Gemeente Utrecht,onbekend,onbekend,0101000020E61000006A16687748811440FC523F6F2A0C4A40
153,gemeente_utrecht,Milieuzone,Gemeente Utrecht,onbekend,onbekend,0101000020E610000090A2CEDC438214409A79724D810C4A40
154,gemeente_utrecht,particuliere camerabewaking,Particulier,onbekend,onbekend,0101000020E6100000A5F5B704E04F1440EECEDA6D170E4A40
155,gemeente_utrecht,particuliere camerabewaking,Particulier,onbekend,onbekend,0101000020E6100000C4B30419015514407B2FBE688F0D4A40
156,gemeente_utrecht,particuliere camerabewaking,Particulier,onbekend,onbekend,0101000020E610000075C7629B54541440B6B9313D610D4A40
157,gemeente_utrecht,particuliere camerabewaking,Particulier,onbekend,onbekend,0101000020E61000008331225168591440C765DCD4400D4A40
158,gemeente_utrecht,particuliere camerabewaking,Particulier,onbekend,onbekend,0101000020E610000012178046E9521440A6423C122F0D4A40
159,gemeente_utrecht,particuliere camerabewaking,Particulier,onbekend,onbekend,0101000020E610000087527B116D571440D72FD80DDB0C4A40
160,gemeente_utrecht,particuliere camerabewaking,Particulier,onbekend,onbekend,0101000020E6100000333674B33F501440122EE411DC0C4A40
161,gemeente_utrecht,particuliere camerabewaking,Particulier,onbekend,onbekend,0101000020E61000005B7C0A80F14C1440BD8FA339B20C4A40
162,gemeente_utrecht,particuliere camerabewaking,Particulier,onbekend,onbekend,0101000020E6100000F33CB83B6B471440BD8FA339B20C4A40
163,gemeente_utrecht,particuliere camerabewaking,Particulier,onbekend,onbekend,0101000020E610000095D6DF12803F144070CD1DFD2F0F4A40
164,gemeente_utrecht,particuliere camerabewaking,Particulier,onbekend,onbekend,0101000020E6100000FA08FCE1E72F14404A46CEC29E0E4A40
165,gemeente_utrecht,particuliere camerabewaking,Particulier,onbekend,onbekend,0101000020E6100000C7BDF90D132D144070B6B9313D0F4A40
166,gemeente_utrecht,particuliere camerabewaking,Particulier,onbekend,onbekend,0101000020E6100000A5DDE8633E301440963E74417D0F4A40
167,gemeente_utrecht,particuliere camerabewaking,Particulier,onbekend,onbekend,0101000020E610000015713AC95637144061DEE34C13104A40
168,gemeente_utrecht,particuliere camerabewaking,Particulier,onbekend,onbekend,0101000020E6100000B476DB85E62A1440703FE08101104A40
169,gemeente_utrecht,particuliere camerabewaking,Particulier,onbekend,onbekend,0101000020E6100000390A1005333614409D67EC4B360E4A40
170,gemeente_utrecht,particuliere camerabewaking,Particulier,onbekend,onbekend,0101000020E610000000581D39D2391440933655F7C80E4A40
171,gemeente_utrecht,particuliere camerabewaking,Particulier,onbekend,onbekend,0101000020E610000059130B7C45371440336ABE4A3E0E4A40
172,gemeente_utrecht,particuliere camerabewaking,Particulier,onbekend,onbekend,0101000020E6100000A1BE654E97251440910DA48B4D0F4A40
173,gemeente_utrecht,particuliere camerabewaking,Particulier,onbekend,onbekend,0101000020E6100000804A95287B4B1440976F7D586F0E4A40
174,gemeente_utrecht,particuliere camerabewaking,Particulier,onbekend,onbekend,0101000020E61000003659A31EA2711440320400C79E074A40
175,gemeente_utrecht,particuliere camerabewaking,Particulier,onbekend,onbekend,0101000020E6100000DD96C805677014405A626534F2074A40
176,gemeente_utrecht,particuliere camerabewaking,Particulier,onbekend,onbekend,0101000020E6100000A86DC328086E1440BCE9961DE2074A40
177,gemeente_utrecht,particuliere camerabewaking,Particulier,onbekend,onbekend,0101000020E61000005D876A4AB26E1440C381902C60084A40
178,gemeente_utrecht,particuliere camerabewaking,Particulier,onbekend,onbekend,0101000020E610000071AC8BDB687014407B15191D90084A40
179,gemeente_utrecht,particuliere camerabewaking,Particulier,onbekend,onbekend,0101000020E6100000DA756F4562721440F279C5538F084A40
180,gemeente_utrecht,particuliere camerabewaking,Particulier,onbekend,onbekend,0101000020E6100000AE81AD122C6E1440BB641C23D9094A40
181,gemeente_utrecht,particuliere camerabewaking,Particulier,onbekend,onbekend,0101000020E6100000CA6ABA9EE86A144003931B45D6084A40
182,gemeente_utrecht,particuliere camerabewaking,Particulier,onbekend,onbekend,0101000020E610000056444DF4F958144073124A5F08094A40
183,gemeente_utrecht,particuliere camerabewaking,Particulier,onbekend,onbekend,0101000020E610000042E90B21E76D1440AA45443179074A40
